filerange 11000 11563
rangestart 11000 11563

// Subtitles
11000	Scout
11001	<b>説明:</b> スカウト: 偵察用戦闘機。  高速エンジンと強力なセンサー。 \n\n<b>有利:</b> 無し。 \n<b>不利:</b> Fighters, Corvettes, Frigates 及び Capital Ships。 \n\n<b>前提条件:</b> 無し。
11002	Interceptor
11003	<b>説明:</b> インターセプター: アンチストライククラフト戦闘機。  他のストライククラフトとのドッグファイトに優れる。 \n\n<b>有利:</b> Fighters。 \n<b>不利:</b> Frigates 及び Capital Ships。 \n\n<b>前提条件:</b> Fighter Drive, Fighter Chassis。
11004	Attack Bomber
11005	<b>説明:</b> アタックボマー: アンチキャピタルシップ戦闘機。  発射は遅いが威力のあるプラズマ爆弾(PlasmaBombs)。 \n\n<b>有利:</b> Frigates, Capital Ships 及び Subsystems。 \n<b>不利:</b> Fighters, Corvettes 及び アンチ戦闘機Frigates。 \n\n<b>前提条件:</b> Fighter Drive, Fighter Chassis, Plasma Bomb Launcher。
11006	Defender
11007	<b>説明:</b> ディフェンダー: 重装甲戦闘機。  ストライククラフトから大型艦を守るように設計されている。 \n\n<b>有利:</b> Fighters。 \n<b>不利:</b> Corvettes, Frigates 及び Capital Ships。 \n\n<b>前提条件:</b> Fighter Drive, Defender Sub-Systems。
11008	Cloaked Fighter
11009	<b>説明:</b> クロークドファイター: 秘密作戦用戦闘機。  単独遮蔽(Cloaking)フィールドを発生し船体を見えなくする。 \n\n<b>有利:</b> Fighters 及び Corvettes。  \n<b>不利:</b> Scouts 及び Proximity Sensors。 \n\n<b>前提条件:</b> Fighter Drive, Fighter Chassis, Cloaked Fighter。
11010	Defense Fighter
11011	<b>説明:</b> ディフェンスファイター: アンチ発射体戦闘機。  向かってくる発射体(ミサイルなど)をレーザーで破壊する。 \n\n<b>有利:</b> Missiles 及び Mines。  \n<b>不利:</b> Fighters, Corvettes, Frigates 及び Capital Ships \n\n<b>前提条件:</b> Fighter Drive, Fighter Chassis, Defense Fighter。
11012	Light Corvette
