filerange 60632 60782
rangestart 60632 60782

// Subtitles
// 60632	Hyperdrive disengaged.  The Bentusi are here.  They're in distress.
60632	ハイパードライブ接続解除。 ベントゥージはここにいます。 彼らは困難に陥っています。
// 60633	The Bentusi must be protected.  Draw the Taiidan fleet away and destroy them.
60633	ベントゥージを守らなければなりません。タイダーン艦隊を引き離し、殲滅してください。
// 60634	The Bentusi must be protected.  Draw the Kushan fleet away and destroy them.
60634	The Bentusi must be protected.  Draw the Kushan fleet away and destroy them.
// 60635	For the first time in memory, the Bentusi are in the debt of another.
60635	「始まりの時代(TheFirstTime)」の記憶……ベントゥージ自身であり、負っているもの。
// 60636	The Taiidan are attacking the Bentusi for allying with us.  We must assist the Bentusi.  Destroy all Taiidan vessels.
60636	タイダーンは、我々と結びついているベントゥージを攻撃しています。 我々はベントゥージを支援しなければなりません。 全てのタイダーン艦を破壊して下さい。
// 60646	Reach your Homeworld.  Establish your claim. We will summon the Council.
60646	あなた方の故郷(Homeworld)へとたどり着くべきだ。 あなた方の要求を確立すべきだ。 我々は評議会を召集するだろう。
// 60647	Engage Hyperdrive.
60647	ハイパードライブ接続。
// 60648	Taiidan Empire
60648	タイダーン帝国
// 60649	Bentusi
60649	ベントゥージ
// 60782	Research Division reports it is now equipped for Super Heavy Chassis technology.  We advise commencing research immediately.
60782	研究部門はスーパーヘヴィシャーシ(SuperHeavyChassis)テクノロジーに対する準備が整っていると報告しています。 我々はすぐに研究を開始するよう進言します。

rangeend
